path,category,reason
configs/data/cafef_c2_c3_offline.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/cafef_canonical_market_pilot.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.assignments.v1/index.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.assignments.v1/worker-01.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.assignments.v1/worker-02.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.assignments.v1/worker-03.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.assignments.v1/worker-04.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.assignments.v1/worker-05.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.example.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.securities.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/m1_scale.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/pilot.example.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/representative_pilot.example.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/representative_pilot.mapping_diagnostic.v2.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/representative_pilot.qc_policy.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/representative_pilot.securities.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/representative_pilot.universe.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/representative_pilot.v1.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/scale.example.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/source_smoke.example.json,OBSOLETE_CONFIG,completed or superseded stage configuration
configs/data/source_smoke.research_demo.json,OBSOLETE_CONFIG,completed or superseded stage configuration
docs/DATA_PIPELINE.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/PROJECT_OVERVIEW.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/AGENT_SOURCE_SMOKE_PROMPT.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CAFEF_C1_RANGE_CONTRACT_FINDING.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CAFEF_EXPANSION_5_WORKERS.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CAFEF_HISTORY_POLICY_V3.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CAFEF_PRIMARY_C1_CRAWL_PLAN.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CAFEF_PRIMARY_EXPERIMENT_PLAN.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CAFEF_PRIMARY_MIGRATION_AUDIT.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/CONTINUE_NEXT_STAGE_PROMPT.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/DATA_COLLECTION_GUIDE.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/FIELD_CATALOG.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/HANDOFF_TEMPLATE.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/M1_DATA_ENRICHMENT_AND_UNIVERSE_EXPANSION_MASTER_PLAN.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/M1_RECOVERY_PILOT_REPORT_A1_A6.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/REPRESENTATIVE_PILOT.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/REPRESENTATIVE_PILOT_RESULT.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/SOURCE_DISCOVERY.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/SOURCE_SMOKE.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/SOURCE_SMOKE_DATA_MANIFEST.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/SOURCE_SMOKE_RESEARCH_DEMO_RESULT.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/TEAM_CRAWLING.md,DOCUMENTATION_CONSOLIDATION,duplicate or superseded active documentation
docs/crawl/m1_scale/WORKER_01.md,WORKER_RUNBOOK_HISTORY,completed worker handoff documentation
docs/crawl/m1_scale/WORKER_02.md,WORKER_RUNBOOK_HISTORY,completed worker handoff documentation
docs/crawl/m1_scale/WORKER_03.md,WORKER_RUNBOOK_HISTORY,completed worker handoff documentation
docs/crawl/m1_scale/WORKER_04.md,WORKER_RUNBOOK_HISTORY,completed worker handoff documentation
docs/crawl/m1_scale/WORKER_05.md,WORKER_RUNBOOK_HISTORY,completed worker handoff documentation
docs/crawl/plans/cafef_c1_history_v3/cafef_c1_history_v3_contract.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_history_v3/cafef_c1_history_v3_deep_10y_policy.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_history_v3/cafef_c1_history_v3_failure_policy.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_history_v3/cafef_c1_history_v3_plan.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_history_v3/cafef_c1_history_v3_resume_contract.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_history_v3/manifest.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/STATUS.md,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_candidate_universe.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_crawl_contract.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_failure_policy.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_merge_plan.md,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_partition_summary.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_priority_ranking.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_request_estimates.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_selected_pilot.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_worker_01_assignment.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_worker_02_assignment.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_worker_03_assignment.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_worker_04_assignment.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/cafef_c1_worker_05_assignment.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_prep_v1/manifest.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_solo_v2/cafef_c1_solo_contract.json,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
docs/crawl/plans/cafef_c1_solo_v2/cafef_c1_solo_execution_order.csv,CRAWL_PLAN_HISTORY,superseded execution plan; retained in Git history
